end,year,countrycode,name
1962,1848,DZ,FR
1962,1849,DZ,FR
1962,1850,DZ,FR
1962,1851,DZ,FR
1962,1852,DZ,FR
1962,1853,DZ,FR
1962,1854,DZ,FR
1962,1855,DZ,FR
1962,1856,DZ,FR
1962,1857,DZ,FR
1962,1858,DZ,FR
1962,1859,DZ,FR
1962,1860,DZ,FR
1962,1861,DZ,FR
1962,1862,DZ,FR
1962,1863,DZ,FR
1962,1864,DZ,FR
1962,1865,DZ,FR
1962,1866,DZ,FR
1962,1867,DZ,FR
1962,1868,DZ,FR
1962,1869,DZ,FR
1962,1870,DZ,FR
1962,1871,DZ,FR
1962,1872,DZ,FR
1962,1873,DZ,FR
1962,1874,DZ,FR
1962,1875,DZ,FR
1962,1876,DZ,FR
1962,1877,DZ,FR
1962,1878,DZ,FR
1962,1879,DZ,FR
1962,1880,DZ,FR
1962,1881,DZ,FR
1962,1882,DZ,FR
1962,1883,DZ,FR
1962,1884,DZ,FR
1962,1885,DZ,FR
1962,1886,DZ,FR
1962,1887,DZ,FR
1962,1888,DZ,FR
1962,1889,DZ,FR
1962,1890,DZ,FR
1962,1891,DZ,FR
1962,1892,DZ,FR
1962,1893,DZ,FR
1962,1894,DZ,FR
1962,1895,DZ,FR
1962,1896,DZ,FR
1962,1897,DZ,FR
1962,1898,DZ,FR
1962,1899,DZ,FR
1962,1900,DZ,FR
1962,1901,DZ,FR
1962,1902,DZ,FR
1962,1903,DZ,FR
1962,1904,DZ,FR
1962,1905,DZ,FR
1962,1906,DZ,FR
1962,1907,DZ,FR
1962,1908,DZ,FR
1962,1909,DZ,FR
1962,1910,DZ,FR
1962,1911,DZ,FR
1962,1912,DZ,FR
1962,1913,DZ,FR
1962,1914,DZ,FR
1962,1915,DZ,FR
1962,1916,DZ,FR
1962,1917,DZ,FR
1962,1918,DZ,FR
1962,1919,DZ,FR
1962,1920,DZ,FR
1962,1921,DZ,FR
1962,1922,DZ,FR
1962,1923,DZ,FR
1962,1924,DZ,FR
1962,1925,DZ,FR
1962,1926,DZ,FR
1962,1927,DZ,FR
1962,1928,DZ,FR
1962,1929,DZ,FR
1962,1930,DZ,FR
1962,1931,DZ,FR
1962,1932,DZ,FR
1962,1933,DZ,FR
1962,1934,DZ,FR
1962,1935,DZ,FR
1962,1936,DZ,FR
1962,1937,DZ,FR
1962,1938,DZ,FR
1962,1939,DZ,FR
1962,1940,DZ,FR
1962,1941,DZ,FR
1962,1942,DZ,FR
1962,1943,DZ,FR
1962,1944,DZ,FR
1962,1945,DZ,FR
1962,1946,DZ,FR
1962,1947,DZ,FR
1962,1948,DZ,FR
1962,1949,DZ,FR
1962,1950,DZ,FR
1962,1951,DZ,FR
1962,1952,DZ,FR
1962,1953,DZ,FR
1962,1954,DZ,FR
1962,1955,DZ,FR
1962,1956,DZ,FR
1962,1957,DZ,FR
1962,1958,DZ,FR
1962,1959,DZ,FR
1962,1960,DZ,FR
1962,1961,DZ,FR
1962,1962,DZ,FR
1962,1963,DZ,FR
1962,1964,DZ,FR
1962,1965,DZ,FR
1962,1966,DZ,FR
1962,1967,DZ,FR
1962,1968,DZ,FR
1962,1969,DZ,FR
1962,1970,DZ,FR
1962,1971,DZ,FR
1962,1972,DZ,FR
1962,1973,DZ,FR
1962,1974,DZ,FR
1962,1975,DZ,FR
1962,1976,DZ,FR
1962,1977,DZ,FR
1962,1978,DZ,FR
1962,1979,DZ,FR
1962,1980,DZ,FR
1962,1981,DZ,FR
1962,1982,DZ,FR
1962,1983,DZ,FR
1962,1984,DZ,FR
1962,1985,DZ,FR
1962,1986,DZ,FR
1962,1987,DZ,FR
1962,1988,DZ,FR
1962,1989,DZ,FR
1962,1990,DZ,FR
1962,1991,DZ,FR
1962,1992,DZ,FR
1962,1993,DZ,FR
1962,1994,DZ,FR
1962,1995,DZ,FR
1962,1996,DZ,FR
1962,1997,DZ,FR
1962,1998,DZ,FR
1962,1999,DZ,FR
1962,2000,DZ,FR
1962,2001,DZ,FR
1962,2002,DZ,FR
1962,2003,DZ,FR
1962,2004,DZ,FR
1962,2005,DZ,FR
1962,2006,DZ,FR
1962,2007,DZ,FR
1962,2008,DZ,FR
1962,2009,DZ,FR
1962,2010,DZ,FR
1962,2011,DZ,FR
1962,2012,DZ,FR
1962,2013,DZ,FR
1962,2014,DZ,FR
1962,2015,DZ,FR
1962,2016,DZ,FR
1962,2017,DZ,FR
1962,2018,DZ,FR
1962,2019,DZ,FR
1962,2020,DZ,FR
1962,2021,DZ,FR
1962,2022,DZ,FR
1974,1576,AO,PT
1974,1577,AO,PT
1974,1578,AO,PT
1974,1579,AO,PT
1974,1580,AO,PT
1974,1581,AO,PT
1974,1582,AO,PT
1974,1583,AO,PT
1974,1584,AO,PT
1974,1585,AO,PT
1974,1586,AO,PT
1974,1587,AO,PT
1974,1588,AO,PT
1974,1589,AO,PT
1974,1590,AO,PT
1974,1591,AO,PT
1974,1592,AO,PT
1974,1593,AO,PT
1974,1594,AO,PT
1974,1595,AO,PT
1974,1596,AO,PT
1974,1597,AO,PT
1974,1598,AO,PT
1974,1599,AO,PT
1974,1600,AO,PT
1974,1601,AO,PT
1974,1602,AO,PT
1974,1603,AO,PT
1974,1604,AO,PT
1974,1605,AO,PT
1974,1606,AO,PT
1974,1607,AO,PT
1974,1608,AO,PT
1974,1609,AO,PT
1974,1610,AO,PT
1974,1611,AO,PT
1974,1612,AO,PT
1974,1613,AO,PT
1974,1614,AO,PT
1974,1615,AO,PT
1974,1616,AO,PT
1974,1617,AO,PT
1974,1618,AO,PT
1974,1619,AO,PT
1974,1620,AO,PT
1974,1621,AO,PT
1974,1622,AO,PT
1974,1623,AO,PT
1974,1624,AO,PT
1974,1625,AO,PT
1974,1626,AO,PT
1974,1627,AO,PT
1974,1628,AO,PT
1974,1629,AO,PT
1974,1630,AO,PT
1974,1631,AO,PT
1974,1632,AO,PT
1974,1633,AO,PT
1974,1634,AO,PT
1974,1635,AO,PT
1974,1636,AO,PT
1974,1637,AO,PT
1974,1638,AO,PT
1974,1639,AO,PT
1974,1640,AO,PT
1974,1641,AO,PT
1974,1642,AO,PT
1974,1643,AO,PT
